00:52-kor, várakozási ideje: 20 mp, utazási ideje: 25 mp, 0.szintrõl a 2.szintre
00:52-kor, várakozási ideje: 30 mp, utazási ideje: 50 mp, 10.szintrõl a 8.szintre
00:52-kor, várakozási ideje: 35 mp, utazási ideje: 65 mp, 2.szintrõl a 12.szintre
00:53-kor, várakozási ideje: 85 mp, utazási ideje: 45 mp, 8.szintrõl a 0.szintre
00:57-kor, várakozási ideje: 15 mp, utazási ideje: 30 mp, 5.szintrõl a 0.szintre
00:57-kor, várakozási ideje: 45 mp, utazási ideje: 25 mp, 7.szintrõl a 3.szintre
00:59-kor, várakozási ideje: 45 mp, utazási ideje: 55 mp, 12.szintrõl a 3.szintre
01:00-kor, várakozási ideje: 35 mp, utazási ideje: 40 mp, 6.szintrõl a 12.szintre
01:02-kor, várakozási ideje: 10 mp, utazási ideje: 35 mp, 10.szintrõl a 4.szintre
01:02-kor, várakozási ideje: 25 mp, utazási ideje: 10 mp, 7.szintrõl a 8.szintre
01:03-kor, várakozási ideje: 50 mp, utazási ideje: 60 mp, 11.szintrõl a 1.szintre
01:03-kor, várakozási ideje: 5 mp, utazási ideje: 25 mp, 3.szintrõl a 7.szintre
01:03-kor, várakozási ideje: 65 mp, utazási ideje: 55 mp, 1.szintrõl a 9.szintre
01:04-kor, várakozási ideje: 70 mp, utazási ideje: 25 mp, 7.szintrõl a 10.szintre
01:05-kor, várakozási ideje: 15 mp, utazási ideje: 10 mp, 4.szintrõl a 3.szintre
01:05-kor, várakozási ideje: 80 mp, utazási ideje: 25 mp, 10.szintrõl a 6.szintre
01:05-kor, várakozási ideje: 100 mp, utazási ideje: 20 mp, 4.szintrõl a 7.szintre
01:05-kor, várakozási ideje: 25 mp, utazási ideje: 65 mp, 7.szintrõl a 5.szintre
01:05-kor, várakozási ideje: 35 mp, utazási ideje: 40 mp, 8.szintrõl a 5.szintre
01:06-kor, várakozási ideje: 35 mp, utazási ideje: 35 mp, 9.szintrõl a 4.szintre
01:06-kor, várakozási ideje: 95 mp, utazási ideje: 25 mp, 6.szintrõl a 2.szintre
01:07-kor, várakozási ideje: 50 mp, utazási ideje: 15 mp, 5.szintrõl a 7.szintre
01:09-kor, várakozási ideje: 55 mp, utazási ideje: 10 mp, 7.szintrõl a 8.szintre
01:09-kor, várakozási ideje: 25 mp, utazási ideje: 60 mp, 2.szintrõl a 10.szintre
01:09-kor, várakozási ideje: 20 mp, utazási ideje: 45 mp, 9.szintrõl a 2.szintre
01:10-kor, várakozási ideje: 60 mp, utazási ideje: 110 mp, 6.szintrõl a 11.szintre
01:10-kor, várakozási ideje: 85 mp, utazási ideje: 20 mp, 0.szintrõl a 3.szintre
01:11-kor, várakozási ideje: 20 mp, utazási ideje: 50 mp, 12.szintrõl a 5.szintre
01:14-kor, várakozási ideje: 25 mp, utazási ideje: 25 mp, 10.szintrõl a 6.szintre
01:15-kor, várakozási ideje: 15 mp, utazási ideje: 30 mp, 0.szintrõl a 4.szintre
01:15-kor, várakozási ideje: 30 mp, utazási ideje: 60 mp, 2.szintrõl a 12.szintre
01:17-kor, várakozási ideje: 10 mp, utazási ideje: 40 mp, 10.szintrõl a 4.szintre
01:17-kor, várakozási ideje: 20 mp, utazási ideje: 50 mp, 9.szintrõl a 2.szintre
01:18-kor, várakozási ideje: 10 mp, utazási ideje: 30 mp, 9.szintrõl a 5.szintre
01:18-kor, várakozási ideje: 45 mp, utazási ideje: 40 mp, 11.szintrõl a 6.szintre
01:19-kor, várakozási ideje: 15 mp, utazási ideje: 55 mp, 5.szintrõl a 12.szintre
01:19-kor, várakozási ideje: 25 mp, utazási ideje: 15 mp, 10.szintrõl a 8.szintre
01:19-kor, várakozási ideje: 85 mp, utazási ideje: 10 mp, 1.szintrõl a 2.szintre
01:21-kor, várakozási ideje: 5 mp, utazási ideje: 10 mp, 3.szintrõl a 2.szintre
01:22-kor, várakozási ideje: 10 mp, utazási ideje: 50 mp, 0.szintrõl a 9.szintre
01:22-kor, várakozási ideje: 35 mp, utazási ideje: 40 mp, 6.szintrõl a 0.szintre
01:23-kor, várakozási ideje: 25 mp, utazási ideje: 40 mp, 12.szintrõl a 7.szintre
01:23-kor, várakozási ideje: 40 mp, utazási ideje: 75 mp, 0.szintrõl a 10.szintre
01:24-kor, várakozási ideje: 5 mp, utazási ideje: 25 mp, 6.szintrõl a 2.szintre
01:25-kor, várakozási ideje: 5 mp, utazási ideje: 10 mp, 3.szintrõl a 2.szintre
01:25-kor, várakozási ideje: 10 mp, utazási ideje: 10 mp, 4.szintrõl a 5.szintre
01:26-kor, várakozási ideje: 15 mp, utazási ideje: 10 mp, 7.szintrõl a 6.szintre
01:26-kor, várakozási ideje: 10 mp, utazási ideje: 45 mp, 7.szintrõl a 0.szintre
01:26-kor, várakozási ideje: 30 mp, utazási ideje: 30 mp, 1.szintrõl a 5.szintre
01:27-kor, várakozási ideje: 65 mp, utazási ideje: 10 mp, 12.szintrõl a 11.szintre
01:27-kor, várakozási ideje: 90 mp, utazási ideje: 15 mp, 8.szintrõl a 10.szintre
